"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-172033","cohua.","cōhua.","tlach2.","nic. Macehualli quitominpatla ce tlamantli tlen ya quipoloa. ""Angelica quinahuatih iconeuh ma quicohuati chilli huan tomatl pan tianquiz. ""","	A. Una persona va a la plaza y le dan dinero a otro porque quiere que le traigan algo. “Angelica fue a comprar tomate en la plaza”. 	B. Comprar algo. ","","to buy s.t.","","IDIEZ"
"WHP-172035","cochi.","cochi.","tlach2.","ni. Macehualli, tecuani zo tlapiyalli quitzacua iixtiyol pan ce yohualli. “Quemman oncah ce tlaixpiyalli Sabani axniman cochi. ”","	A. Una persona, animal y vacas cierran su ojo de noche. “Cuando hay un baile Sandra no se duerme temprano”. 	B. Dormir.","","to sleep.","","IDIEZ"
"WHP-172041","cotoni.","cotōni.","tlach2.","Tlamahcahua cuamecatl, lazoh zo iloh tlen tlahuel motilantoc. ""Ne cuahuizolli nochi cotonqui pampa axquimalhuihqueh conemeh quemman mohuizoyaya. ""","	A. Se hace pedazos el mecate, una cuerda o hilo lo que se gala mucho y no aguanta. “Ese columpio se reventó todo porque no lo cuidaron los niños cuando se mecian”. 	B. Se revienta algo. ","","for s.t. to bust open.","","IDIEZ"
"WHP-172044","conetl.","conētl.","tlat.","1. CONĒCHICHI, CHĪLCONĒTL huan miac tlahtolli iyollo huan itlacalaquil. Macehualli, tecuani, tlapiyalli zo tlamantli tlen nocca cuecuetztzin. 2. Zan motequihuia ica miaquin. ti. Macehualmeh tlen nocca cuecuetztzitzin. “Quemman ce macehualli quinpiya miac conemeh ichan, zan quicuatlapololtiah pampa tlahuel cuatzahtzih. ” 3. no. Macehualli icihuapil zo ioquichpil tlen ayiquipiya miac xihuitl. “Martin iconeuh tlahuel axquinequi yaz caltlamachtihquetl pampa nocca mahmahui. ”","","","son/daughter.","","IDIEZ"
"WHP-172066","chicahua.","chicāhua1.","tlach1.","CHICĀHUAC huan CHICĀHUALIZTLI iyollo. 1. Tetiya ce tlamantli. 2. Tetiya macehualli. 3. Eli tetahtzin macehualli [Mc. 19v]. ","","","root of CHICĀHUAC and CHICĀHUALIZTLI. 1. for s.t. to become hard. 2. to become strong. 3. for a person to become old.","","IDIEZ"
"WHP-172067","chiya.","chiya.","","1. nic. Macehualli, tecuani zo tlapiyalli itztoc campa teipan quiceliz ceyoc zo ce tlamantli. “Teresa quichiya imimi ica tlacualiztli quemman yohui ontequiti. ” 2. nimo. Macehualli, tecuani zo tlapiyalli ayicanah quionchihua itequiuh. “ʻOfelia, ximochiya pampa tlamachtihquetl tlahcuiloa tlahuel yolic. ʻ”","    A. nic. Una persona, un animal silvestre y somesticado está donde despues lo va a recibir a otro o una cosa que va a llegar o va a bajar. “Teresa lo espera su hermano con comida cuando va a trabajar”. 2. mo. Una persona, un animal silvestre y domesticado que todavía no lo hace su tarbajo. “ Ofelia, esperate porque el maestro está escribirndo muy despacio”. 	B. 1. esparar a alguien. 2. esperarse.   ","","1. to wait for s.o. or s.t. 2. the wait somewhere before doing s.t. else.","","IDIEZ"
"WHP-172140","yauh.","jɑːw","","Xiquitta YĀ. ","","","See YĀ.","","IDIEZ"
"WHP-172144","yancuic.","yancuic.","quen.","1. Ce tlamantli tlen namanoc mocouhtoc, mopixtoc, mochiuhtoc zo peuhtoc. “Nelyancuic notecac, yeca tlahuel nechicxicocoa.” 2. Nelnamanoc mochiuhtoc zo peuhtoc. “Yancuic quipatlatoqueh hueyi tequitiquetl.”","","","1. s.t. new; or, 2. recently done or begun.","yancuiya, cā.","IDIEZ"
"WHP-172145","yahualoa.","yahualoā.","tlach3.","1. nic. Macehualli, tecuani zo tlapiyalli nehnemi miac hueltah itenno ceyoc zo ce tlamantli. “Ne mizton tlahuel tlayahualoa ne caltic pampa quinequi quiitzquiz quimichin.” 2. tic. Macehualmeh, tecuanimeh zo tlapiyalmeh mozancehcotiliah yahualtic huan ce itztoc tlatlahco. “Quemman yohuih tlanahuatianih ne Tecomate macehualmeh quinyahualoah pampa quinequih quicaquizceh tlen quiihtozceh.” 3. timo. Macehualmeh, tecuanimeh zo tlapiyalmeh mozancehcotiliah yahualtic. “Pipilmeh moyahualoah quemman mahuiltiah ica torompoh.”","1. Nic. Una persona, animal silvestre y animal domestico camina muchas veces alrededor de otro o de una cosa. “Ese gato da muchas vueltas en la casa porque quiere agarrar un ratón”. 2. Tic. Personas, animales silvestres y animales domésticos se juntan alrededor y uno se queda en medio. “Cuando va una autoridad a Tecomate, las personas lo redondean porque quieren escuchar que es lo dirá”. 3. Timo. Personas, animales silvestres y animales domésticos se juntan alrededor. “Los niños se juntan alrededor cuando juegan con el trompo"".","","1. to walk around s.o. or s.t.; 2. to surround s.o. or s.t; or, 3. to gather, forming a circle.","yahualihui, oā2.","IDIEZ"
"WHP-172188","yalhua.","yālhua.","quen.","YĀLHUAYA iyollo. Ce tonatiuh tlen panocca [Mc. 30v]. ","","","yesterday (root of YĀLHUAYA)","","IDIEZ"
"WHP-172225","iyoca.","iyoca.","quen.","Campa motlaliah macehualmeh zo tlapiyalmeh, zo campa quitlaliah tlamantli tlen axcanah itztoc zo eltoc zancehco. “’Iyoca xictlalican nopa cintli; axcanah huanya olotl. ” ","","","apart, by itself.","iyoh, ca1","IDIEZ"
"WHP-172236","ilpitoc.","ilpitoc.","tlach. axahci.","Xiquitta ILPI. ","","","See ILPI.","","IDIEZ"
"WHP-172286","yohualli.","yohualli.","tlat.","Nouhquiya YAHUALLI. 1. Tlahco tlen ce tonatiuh tlen tzimpehua quemman huetzi tonatiuh huan tzontlami quemman tlaneci. “Pan ni yohualli monequi tictlamizceh totequiuh pampa moztla techtlahtlaniliah. ” 2. ĀYOHUALLI, YOHUALTIC, TZONYOHUALLI huan cequinoc tlahtolli iyollo. Ce tlatzquintli tlen huahcauhquiya toahuimeh quiololoayayah yahualtic tlen ica quiicpohuiyayah ce comitl [Mc. 31v]. ","","","1. night. 2. root of YOHUALTIC, TZONYOHUALLI and other words. s.t. round.","yohua (tlachiuhtli).","IDIEZ"
"WHP-172310","cahua.","cāhua.","tlach2.","1. nic. /timo. /nitla. Macehualli ayoccanah huanya itztoc tlen huanya tlaahcitoya. “Manuel quicauhqui icihuauh pampa quipixtoc ceyoc. ” 2. nic. Macehualli quitlalia ce tlamantli canahya. “Sandra, ʻXiccahua ne tomin pampa axcanah tlen ta. ʻ” 3. nic. Macehualli axcanah quitlamia itequiuh. “Victor quicahuaz itequiuh pampa momachtiz. ” 4. nimo. Macehualli, tecuani zo tlapiyalli itztoc icelti canahya pampa ne cequin quizteuhqueh huan yahqueh. “Tlamachtihquetl mocauhqui icelti campa tequiti quemman yahqueh momachtianih. ” 5. mo. Tlamantli eltoc ce canahya pampa macehualli axcanah quicuiteuhqui. “Mario itepozcacalach mocauhqui Cuernavaca pampa ihtlacauhqui. ”","A.	nic/timo. una persona ya no esta con quien estaba casado. “Manuel dejó a su  mujer porque tiene otra.”. 2. nic. una persona pone una cosa en un lugar. “Sabina deja ese dinero porque es tuyo”. 3.nic. una persona no termina su trabajo. “Victor va a dejar su trabajo porque va a estudiar”. 4. nimo. una persona esta solo porque los demás salieron”. “El maestro se quedó solo cuando se fueron los estudiantes”. mo. el animal esta solo porque los demás se fueron. mo. una cosa esta en un lugar porque el dueño ya no lo utiliza. “Manuel su carro se quedó en Cuernavaca porque se descompuso”. ","","1. to abandon one’s spouse 2. to leave s.t. someplace. 3. nic. to leave a task unfinished. 4. to stay or remain someplace alone. 5. for s.t. to be left somplace.","","IDIEZ"
"WHP-172337","itz-.","itz.","achi.","Xiquitta ITTA1 huan ITTA2. ","","","See ITTA1 and ITTA2.","","IDIEZ"
"WHP-172409","metztli.","mētztli.","tlat.","1. Ce tlahuilli tlen panquiza zan tlayohua pan elhuicatl; quemmantzin mochihua yahualtic huan quemmanya huihcoltic. “Yalhuaya tlayohua huetzqui notatah pampa axcanah quizqui metztli. ” 2. Cempohualli huan mahtlactli tonatiuh. “Ni metztli niyaz Veracruz niquinpaxaloti notatahhuan. ”","","","1. moon. 2. month.","","IDIEZ"
"WHP-172435","montli.","mōntli.","tlat.","no. Macehualli iichpocauh itetah. “Ernesto imontli yalhuaya tequitic huanya notatah huan tequiti tlahuel chicahuac; naman zampa quitlaneuhqui ma tlamehuati imillah. ”","","","s.o.ʻs son-in-law.","","IDIEZ"
"WHP-172439","monnantli.","mōnnāntli.","tlat.","no. Tlacatl icihuauh inanan. “Nomonnan nechahhuac pampa nictehuih iichpocauh. ”","","","a man’s mother-in-law.","mōntli, nāntli.","IDIEZ"
"WHP-172449","ánima.","ānimah.","tlat.","Miccatzin itonal. “Ilhuititlan axacah tequitih pampa itztoqueh miac animahtziztin huan axcualli quichihuazceh ce tlamantli tequitl; yeca nochi macehualmeh zan itztoqueh ininchan.”","","","the soul of a dead person.","ánima (huahca.)","IDIEZ"
"WHP-172630","tamachihua.","tamachīhua.","tlach2.","Nouhquiya TLAMACHĪHUA. 1. nic. /nimo. Macehualli quitlalia ce acahya, ce tlapiyalli zo ce tlamantli pan ce tepoztli pampa quinequi quimatiz quezqui etiya. “Jesus ahachica onmotamachihua campa tepahtiah, pampa tlahuel mococoa. ” 2. nic. Macehualli quiyehyecoa ce tlalli, ce huapalli zo ce tlamantli pampa quinequi quimatiz ihuexca. “Notatah quitamachihua icuamezah zan ica imapelca pampa axquipiya cintah. ” 3. nic. Macehualli quiyehyecoa ica imapatlac ihuahcapanca ce acahya zo ce pitzotl. “Braulio quitamachihua itenanpitzo pampa quinequi quinamaquiltiz itlayi. ”","","","1. to weigh s.o. or s.t. 2. to measure the size or extension of s.t. 3. to measure the height of s.o. or a pig.","","IDIEZ"
"WHP-172637","tecpana.","tecpāna.","tlach2.","1. niquin. /timo. Macehualli quinnahuatia cequinoqueh ma quichihuacan ce pamitl huan axcanah zan ma moquetzacan cehcotzin. “Tequitiquetl quinnahuatia cihuameh ma motecpanacan para iuhquinon quimatiz acquiya yohui actohui. ” 2. niquin. macehualli quintlalia ica pamitl tlapiyalmeh zo ceyoc tlamantli. “Adan quintecpana cuaciyahmeh ne tlanempan pampa quinnotztoc itequixpoyohuan ma quiittatih. 3. nic. Macehualli quitecpichoa ce tlamantli canahya. “Na nictecpana tetl campa nitlachcueniz pampa axnicpiya cuaxicalli. ”","","","1. to assemble people in a line. 2. to order animals or people in rows. 3. to stack things.","","IDIEZ"
"WHP-172640","temo.","temō.","tlach1.","ni. Yohui tlalchi macehualli, tecuani, tlapiyalli zo tlamantli tlen itztoc zo eltoc huahcapan. “Ne cihuapil choca pampa itztoc pan cuaciyah huan axhueli temo icelti. ”","# va hacia abajo persona, animal silvestre, animal domestico que esta arriba. “esa niña llora porque esta en la silla y no puede bajar solita porque esta chiquita todavía.”","","to come down off s.t.","","IDIEZ"
"WHP-172644","temi.","tēmi.","tlach1.","1. Ce tlamantli tlen cacahuatic quitlalhuiliah ce tlenhueli zo quitequilia atl huan pehua ixpachihui. “ʻNi coxtalli temiya, ayoccanah xictemili cintli. ʻ” 2. Eli tolontic pan ce achi itlacayo macehualli, tecuani zo tlapiyalli quemman quiahci ce tlamantli zo quemman mococoa. “Temi noicxopil quemman nechicxicocoa notecac. ”  3. TĒNTOQUEH. ti. Mocehuihtoqueh macehualmeh campa itztoqueh. “Ne tlacameh zan tentoqueh yon axcanah tequitih. ”","	A. 1. Una cosa que le ponen a algo, empieza a llegar en las orillas. “Este costal ya se va llenando, ya no le echen maíz”. 2. Ce hace redondo un poco el cuerpo de un a persona, animal o vacas cuando le aya algo y cuando esta enfermo. “Se incha mi dedo de mi pie cuando me lastima miu zapato”. 	B. 1. Se llena algo.  2. Se incha una parte del cuerpo. ","","1. to fill up. 2. for a wound to swell. 3. for a group of persons to be seated.","","IDIEZ"
"WHP-172699","tlachihualli.","tlachīhualli.","tlat.","Ce tlamantli tlen quicualtlaltoc macehualli ica imah. “Ni ahahuilli ni tlachihualli nican. ”","","","something made, a product.","tla1, chīhua (tlachiuhtli).","IDIEZ"
"WHP-172834","zoquitl.","zoquitl.","tlat.","Tlalli atoltic. “Andres quiillia itatah ma axcanah mahuilti caltenno pampa cheneh oncah zoquitl huan zan mozocohuiz.”","lodo.","","mud.","","IDIEZ"
"WHP-173040","zacatl.","zacatl.","tlat.","ce tlamantli xihuitl; eli zan quenhuac ce cuamecatl; mozohua huan nopayoh quiza ixihuiyohuan pilpitzactzitzin zan huehhuehueyac; quitequihuiah ica quintlamacazceh tlapiyalmeh. “Campa na niehua tlahuel oncah zacatl pan tlalli pampa nochi macehualmeh quinmocuitlahuiah zan huacaxmeh.”","zacate.","","grass.","","IDIEZ"
"WHP-173046","almud.","almoh","tlat.","1. Ce tlatlamachihualiztli tlen tlalli tlen nahui cuartiyoh tlen hueyi zo chicueyi cuartiyoh tlen cuecuetztzin. “Eduardo itatah quinamacac ce almoh tlalli. ” 2. Ce tlatlamachihualiztli tlen nahui cuartiyoh tlen cintli, etl, tomatl, chilli, aholli huan miac tlamantli. “Manuel quicouhqui ce almoh cintli huan axcanah ahci quimacaqueh. ”","","","1. measurement of four large or eight small cuartillos of land. 2. measurement of four cuartillos of corn, tomato, sesame, etc.","almud (huahca.)","IDIEZ"
"WHP-173161","moztla.","moztla.","quen.","Ica momanextia tonatiuh teipan tlen naman. “Jorge quiillia iicniuh moztla yazceh tianquizotih. ” ","","","tomorrow.","","IDIEZ"
"WHP-173189","tlacatecolotl.","tlācatecolotl.","tlat.","Totiotzin tlen axcualli itlallamiquiliz huan inemiliz; mopannextia ica ce macehualli zo ica miac tecuanimeh huan neltemahmauhtih; nocca itocah TLAHUĒLILŌC. “Quemman nitlaixpiyato ica cualcanya nechmahmauhtih tlacatocolotl huan yeca naman tlahuel nimococoa. ”","","","an evil spirit that appears as a person or animal and scares people.","tlācatl, tecolotl.","IDIEZ"
"WHP-173204","acatl.","ācatl.","tlat.","Nouhquiya ĀCACUAHUITL. Ce pilcuatzin tlen ihticoyontoc huan quipiya miac imixxo; tlachiya quenhuac ce ohuatl; ipanpetlayo tlahuel pitzahuac; zan huehueyacahtic; ihuahcapanca macuilli mapelli; ixochiyo chipahuac; ixihuiyo ceceltic huan pilhuehueyacatzitzin; ica macehualli quichihua ce tlapitzalli huan ce cuahuizolli tlen pan mocuahuizoah pilconetzitzin; nouhquiya quixochiyotiah quemman ce acahya mopahtia. ""Marciano quicuito ce acatl pampa quinequi quichihuaz ce acacuahuizolli campa quicuahuizoz iconeuh tlen onpiltlacatqui. ""","","","reed grass","","IDIEZ"
"WHP-173244","tema.","tēma.","tlach2.","nic. Macehualli quitlalia miac tlamantli pan ce tlenhueli campa moahcocuiz. “Nictema etl pan chiquihuitl pampa axcanah nicamati ma cemmoyauhto. ”","# 1. Persona pone una cosa semilla o la ropa donde se va a quedar. “hecho los frijoles en la canasta.” 2. personas echados o sentados donde están. “esos señores nada mas están sentados y no trabajan.”","","to pour or dump things into a container where they will be stored.","tēmi, ā4.","IDIEZ"
"WHP-173257","icnotl.","icnōtl.","tlat.","ICNŌTZIN iyollo. Macehualli tlen axcanah quipiya itatah huan inanan [K. 94]. ","","","root of ICNŌTZIN. orphan.","","IDIEZ"
"WHP-173276","ilhuitl.","ilhuitl.","tlat.","Ce tonatiuh tlen itechpohui macehualli, miccatzitzin zo totiotzin huan quitlaixpiyaltiah. “Na tlahuel nicamati niyaz nochan pan ilhuitl pampa quichihuah miac chichiquilli ahhuiac huan niccua zan tlen na nicnequi. ”","","","party, dance, wedding, Day of the Dead.","","IDIEZ"
"WHP-173335","aatemi.","āātēmi.","tlach1.","ni. Macehualli zo tecuani eli aaixhui. “Pablo aatemi quemman atli ihcatzan teipan axhueli tequiti chicahuac huan mocauhtiuh quemman tlamehua”. ","","","to become satiated with water, after all ","ātēmi (tlaomp.)","IDIEZ"
"WHP-173513","acoatl.","ācōātl.","tlat.","Ce tlamantli coatl tlen itztoc pan atl; mimiltic huan huehueyac; iixnexca tenextic, xoxoctic zo cafentic; quemman tecua axcanah temahmauhtih. ""Maria quitzacanih ce acoatl quemman michitzquito; naman iztalihui pampa quimahmauhtih.""","","","non-venomous water snake","ātl, cōātl.","IDIEZ"
"WHP-173559","ayacachtli.","āyacachtli.","tlat.","Ce tlamantli xihuitl tlen xochiyohua chipahuac huan huehueyac icuamecayo; quipiya itlacca zan achi tolontic; macehualli quitzintequi, quiquixtilia iyollo huan quihuatza, teipan quicalaquilia piltetzin zo yaya tecomitl iyollo; quitequihuia ica tlatziliniz. “Nomachicniuh quiamati mihtotiz ica ce ayacachtli ne tiopan quemman quixihuitlaliah totiotzin. ”","","","a type of gourd rattle.","","IDIEZ"
"WHP-173583","ayo.","āyō.","tlap.","i. Pilatzin tlen quipiya ce tlamantli tlacualiztli quemman tlachihchihualliya. “Tohtolon iayo tlahuel ahhuiac, yeca miac macehualmeh quiamatih quicuazceh. ”","","","the juice or broth of a food.","ātl, yō.","IDIEZ"
"WHP-173603","ayotl.","āyōtl.","tlat.","Ce piltecuanitzin iixnezca tenextic zo cafentic; quipiya ipancacallo chicahuac; itzontecon zan pilcuahuehueyacatzin; huan itztoc pan atl. “Ne ayotl nicamati pampa nelpilcuecuetzin. ”","# Tlat. Un animal que vive en el agua que tiene encima de el un caparazón duro. “Ofelia tenía una tortuga en su casa y después se murió porque no le daba de comer”. ","","turtle.","","IDIEZ"
"WHP-173630","cua.","cuā.","tlach4.","nic. Macehualli, tecuani zo tlapiyalli quicamatlalia ce tlamantli, quicuahcua, huan teipan quitoloa. “Araceli quemman quicua cacahuatl cualli quicuahcua para axcanah quechcuatacaniz. ”","	A. persona, animal silvestre y animal domestico mete una cosa en la boca cosa que se come, lo mastica y después lo traga. “Araceli cuando come cacahuate lo mastica bien para que no se atore en el cuello.” 	B. comer. ","","to eat s.t.","","IDIEZ"
"WHP-173637","altia.","āltiā2.","tlach3.","1. nic. Macehualli quitequilia atl huan xapoh ce acahya zo ce tlapiyalli pampa zoquiyoh. ""Leobardo quialtia ipilconeuh pampa tlahuel zoquiyoh.” 2. nic. /nimo. Macehualli quitequilia atl huan pahtli ce acahya zo ce tlapiyalli pampa mococoa. “Noahui quialtia Jacqueline ica xihuipahtli pampa cohuixihui.”","1. Una perosna se echa agua o le echa agua y jabón a otro o algun animal porque esta socio. “Leobardo se baña porque esta socio”. 2. Una persona se echa o le echa agua y medicina a alguien o un animal porque esta enfermo. “Mi tía baña  jacqueline con yerba medicinal porque no tiene hambre”.","","1. to bathe s.o. or an animal. 2. to apply a medicinal liquid to s.o’s or s.t’s body.","ātl, ti2, a4.","IDIEZ"
"WHP-173807","amoxtli.","āmoxtli.","tlat.","Amatl tlatecpichtli tlen quipiya tlahcuilolli tlen hueli quipohua macehualli. “Naman niccouhqui ce amoxtli pampa nicamatqui tlen quiihtoyaya ihcatzan patiyoh.”","libro.","","book.","","IDIEZ"
"WHP-173816","analli.","ānālli.","tlat.","Tlalli campa ticahcih quemman tiquixpanoh atl. “Tiquixpanozceh ne atl huan timoquetzatiuh ne analli huan nouhquiya tiquinchiyazceh nopeyoh tomacehualpoyohuan.”","","","ground that lies on the opposite bank of a body of water.","ātl, nālli.","IDIEZ"
"WHP-173912","apano.","āpanō.","tlach1.","ni. Macehualli, tecuani zo tlapiyalli ixtlapalnehnemi pan atlauhtli huan onquiza ica neca. “Quemman tlahuel hueyi atlauhtli tohhuantin axcanah tiapanoh pampa ticmahuiliah tiamizahuizceh.”","ni. Una persona, un animal silvestre y un animal domestico cruza en agua y salí para allá. “Cuando está extenso el agua nosotros no no cruzamos porque tenemos miedo ahogarnos”.","","to cross a body of water.","ātl, panō.","IDIEZ"
"WHP-173943","apiztli.","āpīztli.","tlat.","ĀPĪZMIQUI iyollo. Mayantli [Alfa]; tlacuahquetl [Mc. 7].","","","root of ĀPĪZMIQUI. hunger.","","IDIEZ"
"WHP-174035","atentli.","ātēntli.","tlat.","1. Tlalli zo tepexitl tlen eltoc inechca atlauhtli. “Tomas mocauhqui atentli pampa axhueli acqui.1. land at the edge of the water. 2. inhabited area at the edge of a river.” 2. Ce canahya atlapani campa macehualli eltoc ichan. “Elizabeth quinequi quichihuaz itiotah Tomas zampampa axquimati tlan quinequizceh iteixmatcahuan tlen atentli itztoqueh.”","","","1. land at the edge of the water. 2. inhabited area at the edge of a river.","ātl, tlatēntli.","IDIEZ"
"WHP-174051","atic.","ātic.","quen.","Tlamantli tlen quipanohuilihqueh atl, zampampa axnelatoltic. “Ne tixtli nelatic, yeca axhueli motehteca; zan tlatzquia pan comalli.”","#Una cosa que tiene mucha agua. “Esa masa está muy aguada, por eso no se puede hechar”.","","watery.","ātiya, cā.","IDIEZ"
